     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.630000e+02   -1.549100e-01    1.614700e-01    6.855100e-03    6.426390e-07    6.721371e-07    7.016352e-07    1.660733e-01    1.660807e-01    1.660881e-01    4.520482e-04    4.727181e-04    4.933880e-04    9.958791e-01    4.120894e-03    1.694066e-16    8.284436e+02    2.259908e-02    2.399732e-02    2.125840e-05    4.073480e-05
    3.629000e+02   -1.549100e-01    1.614700e-01    6.855100e-03    6.485244e-07    6.782581e-07    7.079918e-07    1.660717e-01    1.660792e-01    1.660866e-01    4.561824e-04    4.770057e-04    4.978291e-04    9.958417e-01    4.158272e-03    0.000000e+00    8.359970e+02    2.311338e-02    2.399732e-02    2.124424e-05    4.068009e-05
    3.628000e+02    6.240000e-04    1.618000e-01    7.027600e-03    6.544846e-07    6.844390e-07    7.143934e-07    1.660701e-01    1.660776e-01    1.660851e-01    4.603565e-04    4.813345e-04    5.023125e-04    9.958040e-01    4.196007e-03   -1.694066e-16    8.436235e+02    2.363967e-02    3.885229e-07    1.829783e-05    4.285359e-05
    3.627000e+02   -8.796800e-02    1.611700e-01    6.787500e-03    6.604916e-07    6.906806e-07    7.208696e-07    1.660685e-01    1.660760e-01    1.660836e-01    4.645710e-04    4.857048e-04    5.068385e-04    9.957659e-01    4.234105e-03    0.000000e+00    8.513239e+02    2.417825e-02    7.738490e-03    2.406914e-05    3.971262e-05
    3.626000e+02   -8.796800e-02    1.611700e-01    6.787500e-03    6.665740e-07    6.969834e-07    7.273929e-07    1.660668e-01    1.660745e-01    1.660821e-01    4.688262e-04    4.901169e-04    5.114077e-04    9.957274e-01    4.272568e-03   -3.388132e-16    8.590988e+02    2.472940e-02    7.738492e-03    2.405364e-05    3.965703e-05
    3.625000e+02   -2.435400e-02    1.610500e-01    6.248300e-03    6.726936e-07    7.033483e-07    7.340030e-07    1.660652e-01    1.660729e-01    1.660805e-01    4.731225e-04    4.945714e-04    5.160203e-04    9.956886e-01    4.311400e-03    1.694066e-16    8.669491e+02    2.529344e-02    5.931515e-04    2.522908e-05    3.310539e-05
    3.624000e+02   -1.013080e-01    1.613200e-01    6.679900e-03    6.788881e-07    7.097758e-07    7.406635e-07    1.660635e-01    1.660712e-01    1.660790e-01    4.774604e-04    4.990687e-04    5.206769e-04    9.956494e-01    4.350604e-03   -3.388132e-16    8.748755e+02    2.587066e-02    1.026345e-02    2.257433e-05    3.820268e-05
    3.623000e+02   -7.423200e-02    1.609800e-01    6.686600e-03    6.851387e-07    7.162667e-07    7.473947e-07    1.660618e-01    1.660696e-01    1.660774e-01    4.818403e-04    5.036091e-04    5.253780e-04    9.956098e-01    4.390185e-03    0.000000e+00    8.828788e+02    2.646138e-02    5.510496e-03    2.590421e-05    3.822938e-05
    3.622000e+02   -7.798900e-02    1.610500e-01    6.429300e-03    6.914568e-07    7.228217e-07    7.541866e-07    1.660601e-01    1.660680e-01    1.660758e-01    4.862626e-04    5.081932e-04    5.301238e-04    9.955698e-01    4.430147e-03    0.000000e+00    8.909599e+02    2.706593e-02    6.082397e-03    2.518009e-05    3.505951e-05
    3.621000e+02    1.401700e-02    1.606900e-01    6.796300e-03    6.978273e-07    7.294415e-07    7.610558e-07    1.660584e-01    1.660663e-01    1.660742e-01    4.907277e-04    5.128213e-04    5.349149e-04    9.955295e-01    4.470492e-03    3.388132e-16    8.991194e+02    2.768464e-02    1.964559e-04    2.890480e-05    3.948211e-05
    3.620000e+02   -4.001600e-02    1.607300e-01    6.607100e-03    7.042765e-07    7.361269e-07    7.679773e-07    1.660567e-01    1.660647e-01    1.660726e-01    4.952360e-04    5.174939e-04    5.397518e-04    9.954888e-01    4.511225e-03    1.694066e-16    9.073582e+02    2.831784e-02    1.601339e-03    2.845844e-05    3.708330e-05
