     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.630000e+02   -3.591300e-01    4.549700e+00    8.652434e-04    8.982006e-04    9.311607e-04    4.456933e+00    4.462705e+00    4.468476e+00    8.622392e-01    1.377608e-01    1.435213e-13    8.284436e+02    2.259908e-02    1.296203e-01    7.568182e-03
    3.629000e+02    1.110080e+00    4.591000e+00    8.719177e-04    9.050251e-04    9.381358e-04    4.455712e+00    4.461510e+00    4.467308e+00    8.611925e-01    1.388075e-01    1.549054e-13    8.359970e+02    2.311338e-02    1.230269e+00    1.676777e-02
    3.628000e+02    1.110080e+00    4.591000e+00    8.786384e-04    9.118952e-04    9.451557e-04    4.454482e+00    4.460306e+00    4.466131e+00    8.601388e-01    1.398612e-01    1.665606e-13    8.436235e+02    2.363967e-02    1.230254e+00    1.708080e-02
    3.627000e+02    1.110080e+00    4.591000e+00    8.854044e-04    9.188111e-04    9.522221e-04    4.453245e+00    4.459095e+00    4.464946e+00    8.590781e-01    1.409219e-01    1.798420e-13    8.513239e+02    2.417825e-02    1.230239e+00    1.739884e-02
    3.626000e+02    1.110080e+00    4.591000e+00    8.922164e-04    9.257730e-04    9.593345e-04    4.452000e+00    4.457876e+00    4.463753e+00    8.580103e-01    1.419897e-01    1.939367e-13    8.590988e+02    2.472940e-02    1.230223e+00    1.772196e-02
    3.625000e+02   -3.894800e-01    4.594400e+00    8.990754e-04    9.327811e-04    9.664923e-04    4.450746e+00    4.456649e+00    4.462552e+00    8.569354e-01    1.430646e-01    2.088444e-13    8.669491e+02    2.529344e-02    1.524221e-01    1.897537e-02
    3.624000e+02   -2.310820e+00    4.590100e+00    9.059801e-04    9.398356e-04    9.736971e-04    4.449484e+00    4.455413e+00    4.461343e+00    8.558535e-01    1.441466e-01    2.248364e-13    8.748755e+02    2.587066e-02    5.344233e+00    1.814046e-02
    3.623000e+02   -2.310820e+00    4.590100e+00    9.129308e-04    9.469365e-04    9.809492e-04    4.448215e+00    4.454170e+00    4.460125e+00    8.547643e-01    1.452356e-01    2.425902e-13    8.828788e+02    2.646138e-02    5.344266e+00    1.847698e-02
    3.622000e+02   -1.357120e+00    4.592200e+00    9.199297e-04    9.540842e-04    9.882465e-04    4.446937e+00    4.452918e+00    4.458900e+00    8.536681e-01    1.463319e-01    2.615638e-13    8.909599e+02    2.706593e-02    1.844365e+00    1.939941e-02
    3.621000e+02   -3.563220e+00    4.597300e+00    9.269748e-04    9.612787e-04    9.955915e-04    4.445651e+00    4.451658e+00    4.457666e+00    8.525646e-01    1.474354e-01    2.818926e-13    8.991194e+02    2.768464e-02    1.270339e+01    2.121150e-02
