     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.630000e+02   -1.753920e+00    2.656300e+00    2.352006e-04    2.449920e-04    2.547456e-04    2.642948e+00    2.644946e+00    2.646944e+00    9.248491e-01    7.515093e-02    1.355253e-15    8.284436e+02    2.259908e-02    3.077095e+00    1.289196e-04
    3.629000e+02   -2.710740e+00    2.666100e+00    2.371690e-04    2.470189e-04    2.568276e-04    2.642522e+00    2.644532e+00    2.646542e+00    9.242274e-01    7.577265e-02    1.490778e-15    8.359970e+02    2.311338e-02    7.349451e+00    4.651949e-04
    3.628000e+02   -2.710740e+00    2.666100e+00    2.391535e-04    2.490619e-04    2.589255e-04    2.642093e+00    2.644114e+00    2.646136e+00    9.236007e-01    7.639935e-02    1.626303e-15    8.436235e+02    2.363967e-02    7.349462e+00    4.833749e-04
    3.627000e+02   -2.710740e+00    2.666100e+00    2.411541e-04    2.511213e-04    2.610397e-04    2.641660e+00    2.643693e+00    2.645727e+00    9.229689e-01    7.703106e-02    1.626303e-15    8.513239e+02    2.417825e-02    7.349473e+00    5.020529e-04
    3.626000e+02   -1.011110e+00    2.675300e+00    2.431707e-04    2.531970e-04    2.631704e-04    2.641224e+00    2.643269e+00    2.645315e+00    9.223322e-01    7.766781e-02    1.761828e-15    8.590988e+02    2.472940e-02    1.022855e+00    1.025962e-03
    3.625000e+02   -1.357730e+00    2.678400e+00    2.452034e-04    2.552894e-04    2.653177e-04    2.640785e+00    2.642842e+00    2.644899e+00    9.216904e-01    7.830963e-02    2.303930e-15    8.669491e+02    2.529344e-02    1.844124e+00    1.264380e-03
    3.624000e+02   -1.357730e+00    2.678400e+00    2.472524e-04    2.573984e-04    2.674816e-04    2.640342e+00    2.642411e+00    2.644480e+00    9.210434e-01    7.895656e-02    1.897354e-15    8.748755e+02    2.587066e-02    1.844130e+00    1.295209e-03
    3.623000e+02   -1.878480e+00    2.672200e+00    2.493180e-04    2.595242e-04    2.696621e-04    2.639896e+00    2.641977e+00    2.644058e+00    9.203914e-01    7.960863e-02    2.168404e-15    8.828788e+02    2.646138e-02    3.529662e+00    9.134497e-04
    3.622000e+02   -1.878480e+00    2.672200e+00    2.514651e-04    2.616668e-04    2.719414e-04    2.639446e+00    2.641539e+00    2.643632e+00    9.197341e-01    8.026589e-02    2.574980e-15    8.909599e+02    2.706593e-02    3.529670e+00    9.401027e-04
    3.621000e+02   -1.067660e+00    2.670300e+00    2.535624e-04    2.638264e-04    2.741538e-04    2.638993e+00    2.641098e+00    2.643203e+00    9.190716e-01    8.092835e-02    3.117081e-15    8.991194e+02    2.768464e-02    1.140461e+00    8.527761e-04
    3.620000e+02   -2.820770e+00    2.677400e+00    2.556768e-04    2.660032e-04    2.763828e-04    2.638536e+00    2.640653e+00    2.642770e+00    9.184039e-01    8.159607e-02    2.981556e-15    9.073582e+02    2.831784e-02    7.958244e+00    1.350347e-03
    3.619000e+02   -2.820770e+00    2.677400e+00    2.578074e-04    2.681972e-04    2.786294e-04    2.638075e+00    2.640205e+00    2.642334e+00    9.177309e-01    8.226907e-02    3.388132e-15    9.156771e+02    2.896589e-02    7.958257e+00    1.383491e-03
    3.618000e+02   -2.820770e+00    2.677400e+00    2.599554e-04    2.704085e-04    2.808928e-04    2.637612e+00    2.639753e+00    2.641894e+00    9.170526e-01    8.294739e-02    3.930233e-15    9.240770e+02    2.962913e-02    7.958269e+00    1.417305e-03
    3.617000e+02   -1.641360e+00    2.675500e+00    2.621204e-04    2.726372e-04    2.831733e-04    2.637144e+00    2.639298e+00    2.641451e+00    9.163689e-01    8.363106e-02    4.336809e-15    9.325586e+02    3.030795e-02    2.694958e+00    1.310618e-03
    3.616000e+02   -1.941220e+00    2.674200e+00    2.643026e-04    2.748836e-04    2.854711e-04    2.636673e+00    2.638839e+00    2.641004e+00    9.156799e-01    8.432011e-02    4.607859e-15    9.411228e+02    3.100270e-02    3.769402e+00    1.250429e-03
    3.615000e+02   -1.986140e+00    2.673100e+00    2.664865e-04    2.771476e-04    2.878087e-04    2.636198e+00    2.638376e+00    2.640554e+00    9.149854e-01    8.501459e-02    5.285486e-15    9.497705e+02    3.171378e-02    3.945853e+00    1.205754e-03
    3.614000e+02   -1.784090e+00    2.676400e+00    2.687082e-04    2.794294e-04    2.901506e-04    2.635719e+00    2.637910e+00    2.640100e+00    9.142855e-01    8.571453e-02    5.963112e-15    9.585024e+02    3.244158e-02    3.183974e+00    1.481493e-03
    3.613000e+02   -1.533400e+00    2.661000e+00    2.709473e-04    2.817291e-04    2.925109e-04    2.635237e+00    2.637440e+00    2.639643e+00    9.135800e-01    8.641997e-02    6.369688e-15    9.673196e+02    3.318649e-02    2.352180e+00    5.550745e-04
    3.612000e+02   -1.325940e+00    2.667000e+00    2.732043e-04    2.840468e-04    2.948894e-04    2.634751e+00    2.636966e+00    2.639182e+00    9.128691e-01    8.713093e-02    7.047314e-15    9.762228e+02    3.394894e-02    1.758870e+00    9.020145e-04
    3.611000e+02   -1.072540e+00    2.665100e+00    2.754793e-04    2.863827e-04    2.972862e-04    2.634262e+00    2.636489e+00    2.638717e+00    9.121525e-01    8.784746e-02    7.724940e-15    9.852130e+02    3.472933e-02    1.150956e+00    8.185779e-04
    3.610000e+02    1.060960e+00    2.672900e+00    2.777725e-04    2.887369e-04    2.997012e-04    2.633768e+00    2.636008e+00    2.638248e+00    9.114304e-01    8.856959e-02    8.538092e-15    9.942910e+02    3.552812e-02    1.125024e+00    1.361003e-03
    3.609000e+02   -3.003510e+00    2.662900e+00    2.800836e-04    2.911094e-04    3.021352e-04    2.633271e+00    2.635524e+00    2.637776e+00    9.107026e-01    8.929735e-02    9.486769e-15    1.003458e+03    3.634573e-02    9.022821e+00    7.494728e-04
    3.608000e+02    2.414100e-01    2.654900e+00    2.824132e-04    2.935004e-04    3.045875e-04    2.632770e+00    2.635035e+00    2.637300e+00    9.099692e-01    9.003079e-02    1.029992e-14    1.012714e+03    3.718264e-02    5.813717e-02    3.946185e-04
    3.607000e+02   -6.806300e-01    2.663000e+00    2.847612e-04    2.959100e-04    3.070588e-04    2.632265e+00    2.634543e+00    2.636820e+00    9.092301e-01    9.076993e-02    1.151965e-14    1.022061e+03    3.803929e-02    4.636601e-01    8.098187e-04
    3.606000e+02    3.202700e-01    2.659500e+00    2.871278e-04    2.983383e-04    3.095488e-04    2.631756e+00    2.634047e+00    2.636337e+00    9.084852e-01    9.151482e-02    1.260385e-14    1.031500e+03    3.891617e-02    1.023819e-01    6.478779e-04
    3.605000e+02   -1.497500e-01    2.664700e+00    2.895130e-04    3.007855e-04    3.120580e-04    2.631244e+00    2.633547e+00    2.635850e+00    9.077345e-01    9.226549e-02    1.423015e-14    1.041031e+03    3.981376e-02    2.251524e-02    9.705360e-04
    3.604000e+02   -1.497500e-01    2.664700e+00    2.919168e-04    3.032516e-04    3.145864e-04    2.630727e+00    2.633043e+00    2.635359e+00    9.069780e-01    9.302197e-02    1.544988e-14    1.050655e+03    4.073258e-02    2.251598e-02    1.002184e-03
    3.603000e+02    1.154710e+00    2.654900e+00    2.943400e-04    3.057368e-04    3.171337e-04    2.630206e+00    2.632535e+00    2.634863e+00    9.062157e-01    9.378430e-02    1.721171e-14    1.060374e+03    4.167312e-02    1.332649e+00    5.001948e-04
    3.602000e+02   -9.007400e-01    2.660200e+00    2.967818e-04    3.082412e-04    3.197007e-04    2.629682e+00    2.632023e+00    2.634365e+00    9.054475e-01    9.455252e-02    1.910906e-14    1.070188e+03    4.263593e-02    8.118879e-01    7.939268e-04
    3.601000e+02   -3.790100e-01    2.659600e+00    2.992429e-04    3.107649e-04    3.222870e-04    2.629154e+00    2.631508e+00    2.633862e+00    9.046733e-01    9.532667e-02    2.127747e-14    1.080099e+03    4.362153e-02    1.438842e-01    7.891788e-04
    3.600000e+02    5.741000e-01    2.651400e+00    3.017231e-04    3.133081e-04    3.248930e-04    2.628621e+00    2.630988e+00    2.633355e+00    9.038932e-01    9.610677e-02    2.371692e-14    1.090107e+03    4.463049e-02    3.292312e-01    4.166462e-04
    3.599000e+02   -1.570280e+00    2.654300e+00    3.042227e-04    3.158707e-04    3.275188e-04    2.628085e+00    2.630465e+00    2.632844e+00    9.031071e-01    9.689287e-02    2.588533e-14    1.100213e+03    4.566336e-02    2.466771e+00    5.681308e-04
    3.598000e+02   -6.557000e-01    2.650500e+00    3.067421e-04    3.184531e-04    3.301641e-04    2.627544e+00    2.629937e+00    2.632330e+00    9.023150e-01    9.768500e-02    2.913793e-14    1.110419e+03    4.672073e-02    4.303602e-01    4.228408e-04
    3.597000e+02   -1.966700e-01    2.666400e+00    3.092810e-04    3.210552e-04    3.328295e-04    2.627000e+00    2.629405e+00    2.631811e+00    9.015168e-01    9.848319e-02    3.211949e-14    1.120725e+03    4.780319e-02    3.880548e-02    1.368610e-03
    3.596000e+02   -7.930000e-02    2.655300e+00    3.118396e-04    3.236772e-04    3.355149e-04    2.626451e+00    2.628870e+00    2.631288e+00    9.007125e-01    9.928750e-02    3.591420e-14    1.131132e+03    4.891135e-02    6.339930e-03    6.985679e-04
    3.595000e+02   -6.725000e-01    2.651000e+00    3.144181e-04    3.263193e-04    3.382205e-04    2.625898e+00    2.628330e+00    2.630761e+00    8.999021e-01    1.000979e-01    3.984443e-14    1.141642e+03    5.004584e-02    4.526953e-01    5.139394e-04
