     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.630000e+02   -1.408980e-01    2.673200e-01    8.301000e-03    2.566151e-06    2.673079e-06    2.807094e-06    2.654375e-01    2.654610e-01    2.654844e-01    1.664072e-03    1.739756e-03    1.815441e-03    9.918004e-01    8.199629e-03    1.694066e-16    8.284436e+02    2.259908e-02    1.985300e-02    3.456043e-06    4.304992e-05
    3.629000e+02   -2.023210e-01    2.667700e-01    8.126600e-03    2.590069e-06    2.697200e-06    2.833207e-06    2.654325e-01    2.654561e-01    2.654797e-01    1.679216e-03    1.755455e-03    1.831694e-03    9.917264e-01    8.273618e-03    1.694066e-16    8.359970e+02    2.311338e-02    4.093488e-02    1.726353e-06    4.059149e-05
    3.628000e+02   -1.618100e-01    2.664400e-01    8.284300e-03    2.614278e-06    2.721549e-06    2.859588e-06    2.654274e-01    2.654512e-01    2.654750e-01    1.694505e-03    1.771303e-03    1.848101e-03    9.916517e-01    8.348310e-03    0.000000e+00    8.436235e+02    2.363967e-02    2.618336e-02    9.777609e-07    4.241913e-05
    3.627000e+02   -1.618100e-01    2.664400e-01    8.284300e-03    2.638739e-06    2.746130e-06    2.886284e-06    2.654223e-01    2.654462e-01    2.654702e-01    1.709940e-03    1.787301e-03    1.864662e-03    9.915763e-01    8.423711e-03    1.694066e-16    8.513239e+02    2.417825e-02    2.618337e-02    9.875882e-07    4.221100e-05
    3.626000e+02   -1.723660e-01    2.666400e-01    8.210600e-03    2.663471e-06    2.770944e-06    2.913286e-06    2.654171e-01    2.654412e-01    2.654654e-01    1.725522e-03    1.803451e-03    1.881380e-03    9.915002e-01    8.499827e-03    0.000000e+00    8.590988e+02    2.472940e-02    2.971099e-02    1.437070e-06    4.105156e-05
    3.625000e+02   -1.723660e-01    2.666400e-01    8.210600e-03    2.688484e-06    2.795993e-06    2.940593e-06    2.654119e-01    2.654362e-01    2.654605e-01    1.741255e-03    1.819754e-03    1.898254e-03    9.914233e-01    8.576666e-03   -1.694066e-16    8.669491e+02    2.529344e-02    2.971100e-02    1.449207e-06    4.084291e-05
    3.624000e+02   -1.305450e-01    2.667300e-01    8.225600e-03    2.713791e-06    2.821281e-06    2.968204e-06    2.654066e-01    2.654311e-01    2.654556e-01    1.757137e-03    1.836213e-03    1.915288e-03    9.913458e-01    8.654236e-03    1.694066e-16    8.748755e+02    2.587066e-02    1.704273e-02    1.687218e-06    4.082427e-05
    3.623000e+02   -1.305450e-01    2.667300e-01    8.225600e-03    2.739337e-06    2.846809e-06    2.996184e-06    2.654012e-01    2.654259e-01    2.654506e-01    1.773172e-03    1.852827e-03    1.932483e-03    9.912675e-01    8.732543e-03   -3.388132e-16    8.828788e+02    2.646138e-02    1.704274e-02    1.700618e-06    4.061223e-05
    3.622000e+02   -3.819400e-02    2.670600e-01    8.407400e-03    2.765219e-06    2.872580e-06    3.024448e-06    2.653959e-01    2.654207e-01    2.654456e-01    1.789361e-03    1.869600e-03    1.949840e-03    9.911884e-01    8.811594e-03    0.000000e+00    8.909599e+02    2.706593e-02    1.459001e-03    2.687220e-06    4.274283e-05
    3.621000e+02   -1.779570e-01    2.671000e-01    8.218600e-03    2.791371e-06    2.898595e-06    3.053070e-06    2.653904e-01    2.654155e-01    2.654405e-01    1.805705e-03    1.886532e-03    1.967360e-03    9.911086e-01    8.891397e-03    0.000000e+00    8.991194e+02    2.768464e-02    3.166973e-02    2.837609e-06    4.009508e-05
    3.620000e+02   -2.905350e-01    2.676000e-01    7.988100e-03    2.817841e-06    2.924859e-06    3.082017e-06    2.653850e-01    2.654102e-01    2.654354e-01    1.822205e-03    1.903626e-03    1.985046e-03    9.910280e-01    8.971959e-03   -3.388132e-16    9.073582e+02    2.831784e-02    8.441229e-02    4.795297e-06    3.702083e-05
    3.619000e+02   -1.694870e-01    2.673800e-01    9.007700e-03    2.844597e-06    2.951372e-06    3.111332e-06    2.653794e-01    2.654048e-01    2.654302e-01    1.838864e-03    1.920882e-03    2.002899e-03    9.909467e-01    9.053288e-03   -3.388132e-16    9.156771e+02    2.896589e-02    2.872684e-02    3.901270e-06    5.022300e-05
    3.618000e+02   -1.694870e-01    2.673800e-01    9.007700e-03    2.871678e-06    2.978138e-06    3.140987e-06    2.653738e-01    2.653994e-01    2.654250e-01    1.855683e-03    1.938302e-03    2.020921e-03    9.908646e-01    9.135392e-03    0.000000e+00    9.240770e+02    2.962913e-02    2.872685e-02    3.922620e-06    4.997639e-05
    3.617000e+02   -8.527500e-02    2.667500e-01    8.042200e-03    2.847337e-06    3.005158e-06    3.109304e-06    2.653682e-01    2.653940e-01    2.654198e-01    1.872663e-03    1.955888e-03    2.039112e-03    9.907817e-01    9.218277e-03    1.694066e-16    9.325586e+02    3.030795e-02    7.272338e-03    1.838762e-06    3.704319e-05
    3.616000e+02    8.120000e-04    2.675400e-01    7.923300e-03    2.876242e-06    3.032436e-06    3.141029e-06    2.653625e-01    2.653885e-01    2.654145e-01    1.889806e-03    1.973642e-03    2.057477e-03    9.906981e-01    9.301952e-03   -1.694066e-16    9.411228e+02    3.100270e-02    6.544285e-07    4.628997e-06    3.539843e-05
    3.615000e+02   -3.013140e-01    2.674900e-01    8.363700e-03    2.905431e-06    3.059975e-06    3.173121e-06    2.653568e-01    2.653829e-01    2.654091e-01    1.907115e-03    1.991565e-03    2.076014e-03    9.906136e-01    9.386425e-03    1.694066e-16    9.497705e+02    3.171378e-02    9.079197e-02    4.439717e-06    4.060411e-05
    3.614000e+02   -2.648890e-01    2.679700e-01    8.608300e-03    2.934933e-06    3.087775e-06    3.205565e-06    2.653510e-01    2.653773e-01    2.654037e-01    1.924589e-03    2.009658e-03    2.094728e-03    9.905283e-01    9.471703e-03    0.000000e+00    9.585024e+02    3.244158e-02    7.016782e-02    6.721936e-06    4.354207e-05
    3.613000e+02   -1.076290e-01    2.670600e-01    7.958600e-03    2.964763e-06    3.115841e-06    3.238362e-06    2.653451e-01    2.653717e-01    2.653982e-01    1.942232e-03    2.027925e-03    2.113618e-03    9.904422e-01    9.557794e-03    0.000000e+00    9.673196e+02    3.318649e-02    1.158467e-02    2.850456e-06    3.517291e-05
    3.612000e+02   -2.473070e-01    2.670600e-01    8.519000e-03    2.994891e-06    3.144174e-06    3.271559e-06    2.653392e-01    2.653660e-01    2.653927e-01    1.960044e-03    2.046366e-03    2.132687e-03    9.903553e-01    9.644707e-03    1.694066e-16    9.762228e+02    3.394894e-02    6.116231e-02    2.869782e-06    4.189500e-05
    3.611000e+02   -2.149000e-02    2.674800e-01    7.284800e-03    3.025351e-06    3.172778e-06    3.305136e-06    2.653333e-01    2.653602e-01    2.653871e-01    1.978028e-03    2.064982e-03    2.151937e-03    9.902676e-01    9.732448e-03    0.000000e+00    9.852130e+02    3.472933e-02    4.619565e-04    4.493599e-06    2.724650e-05
    3.610000e+02   -2.076580e-01    2.671600e-01    7.747700e-03    3.056138e-06    3.201655e-06    3.339117e-06    2.653272e-01    2.653544e-01    2.653815e-01    1.996185e-03    2.083777e-03    2.171369e-03    9.901790e-01    9.821028e-03    1.694066e-16    9.942910e+02    3.552812e-02    4.312318e-02    3.260316e-06    3.208003e-05
    3.609000e+02   -2.165100e-02    2.682200e-01    7.431000e-03    3.087276e-06    3.230808e-06    3.373496e-06    2.653212e-01    2.653485e-01    2.653758e-01    2.014516e-03    2.102751e-03    2.190985e-03    9.900895e-01    9.910454e-03    0.000000e+00    1.003458e+03    3.634573e-02    4.689057e-04    8.245588e-06    2.839024e-05
    3.608000e+02   -3.670800e-02    2.681400e-01    8.196000e-03    3.123686e-06    3.260239e-06    3.396793e-06    2.653150e-01    2.653426e-01    2.653701e-01    2.033024e-03    2.121906e-03    2.210787e-03    9.899993e-01    1.000073e-02    1.694066e-16    1.012714e+03    3.718264e-02    1.347717e-03    7.825717e-06    3.689462e-05
    3.607000e+02    7.847100e-02    2.670500e-01    7.160400e-03    3.152272e-06    3.289969e-06    3.427666e-06    2.653088e-01    2.653366e-01    2.653643e-01    2.051711e-03    2.141244e-03    2.230777e-03    9.899081e-01    1.009188e-02    8.978549e-13    1.022061e+03    3.803929e-02    6.157182e-03    2.935876e-06    2.519193e-05
    3.606000e+02   -1.557310e-01    2.684200e-01    8.773300e-03    3.181139e-06    3.320018e-06    3.458896e-06    2.653026e-01    2.653305e-01    2.653585e-01    2.070577e-03    2.160767e-03    2.250956e-03    9.898161e-01    1.018389e-02    3.662909e-12    1.031500e+03    3.891617e-02    2.425318e-02    9.544942e-06    4.372560e-05
    3.605000e+02   -1.322810e-01    2.670500e-01    7.557100e-03    3.210322e-06    3.350197e-06    3.490462e-06    2.652963e-01    2.653244e-01    2.653526e-01    2.089626e-03    2.180476e-03    2.271327e-03    9.897232e-01    1.027678e-02   -1.802655e-12    1.041031e+03    3.981376e-02    1.749915e-02    2.977681e-06    2.890808e-05
    3.604000e+02    5.603900e-02    2.684000e-01    7.495100e-03    3.239804e-06    3.380804e-06    3.522391e-06    2.652899e-01    2.653182e-01    2.653466e-01    2.108858e-03    2.200375e-03    2.291891e-03    9.896294e-01    1.037057e-02    1.694066e-16    1.050655e+03    4.073258e-02    3.139991e-03    9.497251e-06    2.803412e-05
    3.603000e+02   -9.459000e-03    2.674200e-01    8.076600e-03    3.269608e-06    3.411670e-06    3.554674e-06    2.652834e-01    2.653120e-01    2.653406e-01    2.128276e-03    2.220463e-03    2.312651e-03    9.895348e-01    1.046525e-02    0.000000e+00    1.060374e+03    4.167312e-02    8.953724e-05    4.443602e-06    3.429434e-05
