     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -3.591300e-01    4.549700e+00    1.447911e-06    1.984526e-06    2.521141e-06    4.521011e+00    4.527288e+00    4.533564e+00    9.130992e-01    8.690084e-02    5.156498e-09    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02    1.110080e+00    4.591000e+00    1.489916e-06    2.041423e-06    2.592931e-06    4.520162e+00    4.526436e+00    4.532710e+00    9.124094e-01    8.759059e-02    5.304337e-09    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02    1.110080e+00    4.591000e+00    1.533254e-06    2.099961e-06    2.666668e-06    4.519306e+00    4.525578e+00    4.531850e+00    9.117148e-01    8.828524e-02    5.456440e-09    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02    1.110080e+00    4.591000e+00    1.578191e-06    2.160188e-06    2.742184e-06    4.518445e+00    4.524714e+00    4.530984e+00    9.110152e-01    8.898479e-02    5.612929e-09    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02    1.110080e+00    4.591000e+00    1.623809e-06    2.222151e-06    2.820493e-06    4.517577e+00    4.523845e+00    4.530112e+00    9.103107e-01    8.968927e-02    5.773933e-09    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -3.894800e-01    4.594400e+00    1.672080e-06    2.285902e-06    2.899724e-06    4.516703e+00    4.522968e+00    4.529234e+00    9.096013e-01    9.039871e-02    5.939579e-09    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -2.310820e+00    4.590100e+00    1.719556e-06    2.351492e-06    2.983428e-06    4.515822e+00    4.522086e+00    4.528350e+00    9.088869e-01    9.111313e-02    6.110005e-09    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -2.310820e+00    4.590100e+00    1.771292e-06    2.418974e-06    3.066656e-06    4.514936e+00    4.521198e+00    4.527460e+00    9.081674e-01    9.183254e-02    6.285347e-09    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -1.357120e+00    4.592200e+00    1.821441e-06    2.488403e-06    3.155365e-06    4.514043e+00    4.520303e+00    4.526564e+00    9.074430e-01    9.255698e-02    6.465749e-09    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02   -3.563220e+00    4.597300e+00    1.876534e-06    2.559835e-06    3.243137e-06    4.513144e+00    4.519402e+00    4.525661e+00    9.067135e-01    9.328647e-02    6.651355e-09    2.693740e-02    1.257826e-05    0.000000e+00
