     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -6.751098e-01    1.042100e+00    1.917610e-02    1.031650e-07    1.414831e-07    1.798012e-07    9.792560e-01    9.811340e-01    9.830119e-01             NaN    1.253203e-02             NaN    9.752183e-01    2.478168e-02    1.470492e-09    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    1.067796e-07    1.456929e-07    1.846063e-07    9.791980e-01    9.810753e-01    9.829526e-01             NaN    1.264482e-02             NaN    9.749953e-01    2.500471e-02    1.514246e-09    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    1.098411e-07    1.500299e-07    1.902187e-07    9.791395e-01    9.810161e-01    9.828927e-01             NaN    1.275864e-02             NaN    9.747702e-01    2.522978e-02    1.559322e-09    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    1.128790e-07    1.544979e-07    1.961167e-07    9.790804e-01    9.809563e-01    9.828322e-01             NaN    1.287349e-02             NaN    9.745431e-01    2.545690e-02    1.605760e-09    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -3.420460e-01    1.045940e+00    1.713440e-02    1.165507e-07    1.591007e-07    2.016507e-07    9.790207e-01    9.808960e-01    9.827712e-01             NaN    1.298939e-02             NaN    9.743139e-01    2.568608e-02    1.653599e-09    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -3.420460e-01    1.045940e+00    1.713440e-02    1.199840e-07    1.638427e-07    2.077014e-07    9.789606e-01    9.808351e-01    9.827097e-01             NaN    1.310634e-02             NaN    9.740827e-01    2.591735e-02    1.702885e-09    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -5.203900e-01    1.046880e+00    1.747860e-02    1.237111e-07    1.687281e-07    2.137450e-07    9.788998e-01    9.807737e-01    9.826476e-01             NaN    1.322435e-02             NaN    9.738493e-01    2.615072e-02    1.753660e-09    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -6.535949e-01    1.046060e+00    1.682340e-02    1.276126e-07    1.737612e-07    2.199097e-07    9.788385e-01    9.807117e-01    9.825849e-01             NaN    1.334344e-02             NaN    9.736138e-01    2.638621e-02    1.805971e-09    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -6.535949e-01    1.046060e+00    1.682340e-02    1.311945e-07    1.789466e-07    2.266986e-07    9.787767e-01    9.806492e-01    9.825217e-01             NaN    1.346361e-02             NaN    9.733762e-01    2.662384e-02    1.859865e-09    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02   -4.337280e-01    1.046300e+00    1.713910e-02    1.351463e-07    1.842890e-07    2.334317e-07    9.787143e-01    9.805861e-01    9.824579e-01             NaN    1.358487e-02             NaN    9.731364e-01    2.686363e-02    1.915391e-09    2.693740e-02    1.257826e-05    0.000000e+00
    3.620000e+02   -4.964520e-01    1.046510e+00    1.728350e-02    1.392545e-07    1.897931e-07    2.403316e-07    9.786513e-01    9.805224e-01    9.823935e-01             NaN    1.370723e-02             NaN    9.728944e-01    2.710560e-02    1.972597e-09    2.711887e-02    1.295619e-05    0.000000e+00
    3.619000e+02   -4.964520e-01    1.046510e+00    1.728350e-02    1.435618e-07    1.954639e-07    2.473660e-07    9.785877e-01    9.804582e-01    9.823286e-01             NaN    1.383070e-02             NaN    9.726502e-01    2.734976e-02    2.031536e-09    2.730166e-02    1.334570e-05    0.000000e+00
    3.618000e+02   -5.451740e-01    1.046370e+00    1.770800e-02    1.475722e-07    2.013066e-07    2.550410e-07    9.785236e-01    9.803933e-01    9.822631e-01             NaN    1.395529e-02             NaN    9.724039e-01    2.759613e-02    2.092262e-09    2.748579e-02    1.374714e-05    0.000000e+00
    3.617000e+02   -3.852550e-01    1.046660e+00    1.773430e-02    1.527139e-07    2.073262e-07    2.619386e-07    9.784589e-01    9.803279e-01    9.821969e-01             NaN    1.408101e-02             NaN    9.721553e-01    2.784474e-02    2.154827e-09    2.767126e-02    1.416089e-05    0.000000e+00
    3.616000e+02   -4.252030e-01    1.046830e+00    1.781270e-02    1.570394e-07    2.135286e-07    2.700177e-07    9.783936e-01    9.802619e-01    9.821302e-01             NaN    1.420787e-02             NaN    9.719044e-01    2.809560e-02    2.219290e-09    2.785809e-02    1.458733e-05    0.000000e+00
    3.615000e+02   -8.823550e-01    1.047480e+00    1.780540e-02    1.617057e-07    2.199190e-07    2.781323e-07    9.783276e-01    9.801953e-01    9.820629e-01             NaN    1.433588e-02             NaN    9.716513e-01    2.834874e-02    2.285708e-09    2.804628e-02    1.502686e-05    0.000000e+00
    3.614000e+02   -3.216310e-01    1.045870e+00    1.865590e-02    1.667400e-07    2.265033e-07    2.862666e-07    9.782611e-01    9.801281e-01    9.819950e-01             NaN    1.446505e-02             NaN    9.713958e-01    2.860417e-02    2.354142e-09    2.823585e-02    1.547989e-05    0.000000e+00
    3.613000e+02   -2.542360e-01    1.045510e+00    1.843460e-02    1.719550e-07    2.332875e-07    2.946200e-07    9.781940e-01    9.800602e-01    9.819265e-01             NaN    1.459539e-02             NaN    9.711381e-01    2.886190e-02    2.424653e-09    2.842681e-02    1.594684e-05    0.000000e+00
    3.612000e+02   -4.370150e-01    1.045530e+00    1.707710e-02    1.769926e-07    2.402778e-07    3.035629e-07    9.781263e-01    9.799918e-01    9.818573e-01             NaN    1.472691e-02             NaN    9.708780e-01    2.912197e-02    2.497305e-09    2.861916e-02    1.642815e-05    0.000000e+00
    3.611000e+02   -5.607730e-01    1.046640e+00    1.777430e-02    1.825916e-07    2.474803e-07    3.123690e-07    9.780579e-01    9.799227e-01    9.817876e-01             NaN    1.485961e-02             NaN    9.706156e-01    2.938440e-02    2.572164e-09    2.881293e-02    1.692426e-05    0.000000e+00
    3.610000e+02   -9.681720e-01    1.047570e+00    1.834200e-02    1.879840e-07    2.549017e-07    3.218194e-07    9.779889e-01    9.798531e-01    9.817172e-01             NaN    1.499352e-02             NaN    9.703508e-01    2.964919e-02    2.649298e-09    2.900811e-02    1.743564e-05    0.000000e+00
    3.609000e+02   -6.917556e-01    1.046150e+00    1.861570e-02    1.938379e-07    2.625487e-07    3.312596e-07    9.779193e-01    9.797828e-01    9.816462e-01             NaN    1.512863e-02             NaN    9.700836e-01    2.991637e-02    2.728776e-09    2.920473e-02    1.796277e-05    0.000000e+00
    3.608000e+02   -9.921110e-01    1.045350e+00    1.890220e-02    1.997573e-07    2.704282e-07    3.410992e-07    9.778491e-01    9.797118e-01    9.815745e-01             NaN    1.526497e-02             NaN    9.698140e-01    3.018597e-02    2.810672e-09    2.940279e-02    1.850614e-05    0.000000e+00
    3.607000e+02   -8.709030e-01    1.045730e+00    1.877550e-02    2.058822e-07    2.785475e-07    3.512128e-07    9.777782e-01    9.796402e-01    9.815022e-01             NaN    1.540253e-02             NaN    9.695420e-01    3.045800e-02    2.895058e-09    2.960230e-02    1.906626e-05    0.000000e+00
    3.606000e+02   -5.234970e-01    1.044790e+00    1.913700e-02    2.117929e-07    2.869138e-07    3.620348e-07    9.777067e-01    9.795680e-01    9.814293e-01             NaN    1.554134e-02             NaN    9.692675e-01    3.073249e-02    2.982013e-09    2.980328e-02    1.964366e-05    0.000000e+00
    3.605000e+02   -9.167370e-01    1.043760e+00    1.988060e-02    2.185062e-07    2.955348e-07    3.725634e-07    9.776345e-01    9.794951e-01    9.813557e-01             NaN    1.568140e-02             NaN    9.689906e-01    3.100945e-02    3.071614e-09    3.000574e-02    2.023888e-05    0.000000e+00
