     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -1.753920e+00    2.656300e+00    3.938253e-07    5.400979e-07    6.863706e-07    2.641721e+00    2.645407e+00    2.649094e+00    9.526992e-01    4.730085e-02    2.806730e-09    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -2.710740e+00    2.666100e+00    4.059226e-07    5.559480e-07    7.059734e-07    2.641433e+00    2.645117e+00    2.648800e+00    9.522924e-01    4.770763e-02    2.889098e-09    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02   -2.710740e+00    2.666100e+00    4.185245e-07    5.722683e-07    7.260121e-07    2.641144e+00    2.644824e+00    2.648505e+00    9.518822e-01    4.811780e-02    2.973910e-09    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02   -2.710740e+00    2.666100e+00    4.307735e-07    5.890731e-07    7.473727e-07    2.640851e+00    2.644529e+00    2.648206e+00    9.514686e-01    4.853139e-02    3.061239e-09    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -1.011110e+00    2.675300e+00    4.436904e-07    6.063766e-07    7.690627e-07    2.640557e+00    2.644231e+00    2.647906e+00    9.510516e-01    4.894841e-02    3.151160e-09    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -1.357730e+00    2.678400e+00   -1.259566e+01    6.241940e-07    1.259566e+01    2.640259e+00    2.643931e+00    2.647603e+00    9.506311e-01    4.936890e-02    3.243752e-09    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -1.357730e+00    2.678400e+00    4.707920e-07    6.425404e-07    8.142887e-07    2.639960e+00    2.643628e+00    2.647297e+00    9.502071e-01    4.979287e-02    3.339093e-09    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -1.878480e+00    2.672200e+00    4.846874e-07    6.614318e-07    8.381761e-07    2.639657e+00    2.643323e+00    2.646989e+00    9.497796e-01    5.022035e-02    3.437266e-09    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -1.878480e+00    2.672200e+00    4.991943e-07    6.808846e-07    8.625748e-07    2.639353e+00    2.643016e+00    2.646678e+00    9.493486e-01    5.065137e-02    3.538356e-09    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02   -1.067660e+00    2.670300e+00    5.138576e-07    7.009155e-07    8.879733e-07    2.639045e+00    2.642705e+00    2.646365e+00    9.489140e-01    5.108595e-02    3.642451e-09    2.693740e-02    1.257826e-05    0.000000e+00
    3.620000e+02   -2.820770e+00    2.677400e+00    5.294162e-07    7.215418e-07    9.136673e-07    2.638736e+00    2.642392e+00    2.646049e+00    9.484759e-01    5.152411e-02    3.749640e-09    2.711887e-02    1.295619e-05    0.000000e+00
    3.619000e+02   -2.820770e+00    2.677400e+00    5.450805e-07    7.427815e-07    9.404824e-07    2.638423e+00    2.642077e+00    2.645731e+00    9.480341e-01    5.196589e-02    3.860016e-09    2.730166e-02    1.334570e-05    0.000000e+00
    3.618000e+02   -2.820770e+00    2.677400e+00    5.611692e-07    7.646527e-07    9.681362e-07    2.638108e+00    2.641759e+00    2.645410e+00    9.475887e-01    5.241131e-02    3.973675e-09    2.748579e-02    1.374714e-05    0.000000e+00
    3.617000e+02   -1.641360e+00    2.675500e+00    5.781774e-07    7.871746e-07    9.961718e-07    2.637790e+00    2.641439e+00    2.645087e+00    9.471396e-01    5.286039e-02    4.090715e-09    2.767126e-02    1.416089e-05    0.000000e+00
    3.616000e+02   -1.941220e+00    2.674200e+00    5.954033e-07    8.103667e-07    1.025330e-06    2.637470e+00    2.641115e+00    2.644761e+00    9.466868e-01    5.331315e-02    4.211237e-09    2.785809e-02    1.458733e-05    0.000000e+00
    3.615000e+02   -1.986140e+00    2.673100e+00    6.137050e-07    8.342488e-07    1.054793e-06    2.637147e+00    2.640789e+00    2.644432e+00    9.462304e-01    5.376963e-02    4.335345e-09    2.804628e-02    1.502686e-05    0.000000e+00
    3.614000e+02   -1.784090e+00    2.676400e+00    6.314178e-07    8.588421e-07    1.086266e-06    2.636821e+00    2.640461e+00    2.644101e+00    9.457701e-01    5.422985e-02    4.463149e-09    2.823585e-02    1.547989e-05    0.000000e+00
    3.613000e+02   -1.533400e+00    2.661000e+00    6.506346e-07    8.841674e-07    1.117700e-06    2.636493e+00    2.640130e+00    2.643767e+00    9.453062e-01    5.469384e-02    4.594757e-09    2.842681e-02    1.594684e-05    0.000000e+00
    3.612000e+02   -1.325940e+00    2.667000e+00    6.702360e-07    9.102470e-07    1.150258e-06    2.636161e+00    2.639796e+00    2.643430e+00    9.448384e-01    5.516161e-02    4.730285e-09    2.861916e-02    1.642815e-05    0.000000e+00
    3.611000e+02   -1.072540e+00    2.665100e+00    6.900641e-07    9.371034e-07    1.184143e-06    2.635828e+00    2.639459e+00    2.643091e+00    9.443668e-01    5.563320e-02    4.869850e-09    2.881293e-02    1.692426e-05    0.000000e+00
    3.610000e+02    1.060960e+00    2.672900e+00    7.114152e-07    9.647598e-07    1.218104e-06    2.635491e+00    2.639120e+00    2.642749e+00    9.438914e-01    5.610864e-02    5.013572e-09    2.900811e-02    1.743564e-05    0.000000e+00
    3.609000e+02   -3.003510e+00    2.662900e+00    7.320475e-07    9.932405e-07    1.254434e-06    2.635151e+00    2.638778e+00    2.642404e+00    9.434120e-01    5.658794e-02    5.161578e-09    2.920473e-02    1.796277e-05    0.000000e+00
    3.608000e+02    2.414100e-01    2.654900e+00    7.543821e-07    1.022570e-06    1.290758e-06    2.634809e+00    2.638433e+00    2.642056e+00    9.429289e-01    5.707114e-02    5.313995e-09    2.940279e-02    1.850614e-05    0.000000e+00
    3.607000e+02   -6.806300e-01    2.663000e+00    7.769302e-07    1.052774e-06    1.328617e-06    2.634464e+00    2.638085e+00    2.641706e+00    9.424417e-01    5.755826e-02    5.470955e-09    2.960230e-02    1.906626e-05    0.000000e+00
    3.606000e+02    3.202700e-01    2.659500e+00    8.001907e-07    1.083878e-06    1.367566e-06    2.634116e+00    2.637734e+00    2.641353e+00    9.419507e-01    5.804932e-02    5.632595e-09    2.980328e-02    1.964366e-05    0.000000e+00
    3.605000e+02   -1.497500e-01    2.664700e+00    8.250322e-07    1.115910e-06    1.406788e-06    2.633765e+00    2.637381e+00    2.640997e+00    9.414556e-01    5.854436e-02    5.799056e-09    3.000574e-02    2.023888e-05    0.000000e+00
    3.604000e+02   -1.497500e-01    2.664700e+00    8.493280e-07    1.148898e-06    1.448468e-06    2.633412e+00    2.637025e+00    2.640638e+00    9.409566e-01    5.904340e-02    5.970483e-09    3.020968e-02    2.085248e-05    0.000000e+00
    3.603000e+02    1.154710e+00    2.654900e+00    8.752434e-07    1.182869e-06    1.490495e-06    2.633055e+00    2.636666e+00    2.640276e+00    9.404535e-01    5.954646e-02    6.147023e-09    3.041513e-02    2.148504e-05    0.000000e+00
    3.602000e+02   -9.007400e-01    2.660200e+00    9.009855e-07    1.217855e-06    1.534724e-06    2.632696e+00    2.636304e+00    2.639912e+00    9.399464e-01    6.005358e-02    6.328833e-09    3.062209e-02    2.213716e-05    0.000000e+00
    3.601000e+02   -3.790100e-01    2.659600e+00    9.284788e-07    1.253885e-06    1.579290e-06    2.632333e+00    2.635939e+00    2.639544e+00    9.394352e-01    6.056478e-02    6.516068e-09    3.083057e-02    2.280945e-05    0.000000e+00
    3.600000e+02    5.741000e-01    2.651400e+00    9.559732e-07    1.290990e-06    1.626006e-06    2.631968e+00    2.635571e+00    2.639174e+00    9.389199e-01    6.108008e-02    6.708893e-09    3.104059e-02    2.350254e-05    0.000000e+00
    3.599000e+02   -1.570280e+00    2.654300e+00    9.855224e-07    1.329203e-06    1.672883e-06    2.631599e+00    2.635200e+00    2.638801e+00    9.384005e-01    6.159952e-02    6.907475e-09    3.125215e-02    2.421710e-05    0.000000e+00
    3.598000e+02   -6.557000e-01    2.650500e+00    1.015067e-06    1.368557e-06    1.722047e-06    2.631228e+00    2.634826e+00    2.638425e+00    9.378769e-01    6.212311e-02    7.111988e-09    3.146528e-02    2.495380e-05    0.000000e+00
    3.597000e+02   -1.966700e-01    2.666400e+00    1.045377e-06    1.409087e-06    1.772796e-06    2.630854e+00    2.634450e+00    2.638046e+00    9.373491e-01    6.265089e-02    7.322608e-09    3.167998e-02    2.571335e-05    0.000000e+00
    3.596000e+02   -7.930000e-02    2.655300e+00    1.076342e-06    1.450827e-06    1.825312e-06    2.630476e+00    2.634070e+00    2.637663e+00    9.368171e-01    6.318288e-02    7.539522e-09    3.189627e-02    2.649645e-05    0.000000e+00
    3.595000e+02   -6.725000e-01    2.651000e+00    1.109146e-06    1.493815e-06    1.878484e-06    2.630096e+00    2.633687e+00    2.637278e+00    9.362809e-01    6.371911e-02    7.762915e-09    3.211416e-02    2.730385e-05    0.000000e+00
    3.594000e+02   -1.477130e+00    2.648600e+00    1.142309e-06    1.538087e-06    1.933866e-06    2.629712e+00    2.633301e+00    2.636890e+00    9.357404e-01    6.425961e-02    7.992986e-09    3.233365e-02    2.813633e-05    0.000000e+00
    3.593000e+02    3.747000e-01    2.658600e+00    1.177120e-06    1.583683e-06    1.990245e-06    2.629326e+00    2.632912e+00    2.636499e+00    9.351956e-01    6.480440e-02    8.229932e-09    3.255477e-02    2.899468e-05    0.000000e+00
    3.592000e+02   -1.877000e-02    2.655400e+00    1.212326e-06    1.630641e-06    2.048956e-06    2.628936e+00    2.632520e+00    2.636105e+00    9.346465e-01    6.535351e-02    8.473961e-09    3.277753e-02    2.987971e-05    0.000000e+00
    3.591000e+02    9.830900e-01    2.652600e+00    1.249138e-06    1.679004e-06    2.108869e-06    2.628543e+00    2.632125e+00    2.635707e+00    9.340930e-01    6.590696e-02    8.725287e-09    3.300193e-02    3.079227e-05    0.000000e+00
    3.590000e+02   -6.103200e-01    2.658700e+00    1.286586e-06    1.728813e-06    2.171039e-06    2.628147e+00    2.631727e+00    2.635307e+00    9.335352e-01    6.646479e-02    8.984130e-09    3.322800e-02    3.173323e-05    0.000000e+00
    3.589000e+02    1.130660e+00    2.654500e+00    1.325306e-06    1.780111e-06    2.234916e-06    2.627748e+00    2.631326e+00    2.634904e+00    9.329730e-01    6.702702e-02    9.250714e-09    3.345575e-02    3.270350e-05    0.000000e+00
    3.588000e+02   -3.177260e+00    2.651200e+00    1.365767e-06    1.832944e-06    2.300122e-06    2.627345e+00    2.630921e+00    2.634497e+00    9.324063e-01    6.759368e-02    9.525272e-09    3.368518e-02    3.370400e-05    0.000000e+00
    3.587000e+02   -1.770460e+00    2.652400e+00    1.406818e-06    1.887358e-06    2.367898e-06    2.626940e+00    2.630513e+00    2.634087e+00    9.318352e-01    6.816479e-02    9.808044e-09    3.391632e-02    3.473569e-05    0.000000e+00
    3.586000e+02    1.489080e+00    2.655700e+00    1.449144e-06    1.943400e-06    2.437657e-06    2.626531e+00    2.630103e+00    2.633674e+00    9.312596e-01    6.874039e-02    1.009928e-08    3.414917e-02    3.579956e-05    0.000000e+00
    3.585000e+02    1.351300e+00    2.644400e+00    1.493177e-06    2.001120e-06    2.509062e-06    2.626119e+00    2.629688e+00    2.633258e+00    9.306795e-01    6.932049e-02    1.039923e-08    3.438375e-02    3.689664e-05    0.000000e+00
    3.584000e+02   -8.180700e-01    2.639000e+00    1.538141e-06    2.060566e-06    2.582992e-06    2.625704e+00    2.629271e+00    2.632839e+00    9.300949e-01    6.990513e-02    1.070816e-08    3.462008e-02    3.802798e-05    0.000000e+00
    3.583000e+02    1.019970e+00    2.645300e+00    1.584364e-06    2.121793e-06    2.659222e-06    2.625285e+00    2.628851e+00    2.632416e+00    9.295056e-01    7.049434e-02    1.102633e-08    3.485816e-02    3.919467e-05    0.000000e+00
    3.582000e+02    1.143000e-02    2.642500e+00    1.632490e-06    2.184853e-06    2.737215e-06    2.624863e+00    2.628427e+00    2.631990e+00    9.289119e-01    7.108813e-02    1.135404e-08    3.509802e-02    4.039784e-05    0.000000e+00
    3.581000e+02   -7.394100e-01    2.650100e+00    1.681611e-06    2.249801e-06    2.817990e-06    2.624438e+00    2.627999e+00    2.631561e+00    9.283134e-01    7.168654e-02    1.169155e-08    3.533965e-02    4.163864e-05    0.000000e+00
    3.580000e+02   -6.900900e-01    2.652900e+00    1.732773e-06    2.316694e-06    2.900615e-06    2.624009e+00    2.627569e+00    2.631129e+00    9.277104e-01    7.228959e-02    1.203918e-08    3.558310e-02    4.291827e-05    0.000000e+00
    3.579000e+02    1.177200e+00    2.648600e+00    1.785026e-06    2.385591e-06    2.986156e-06    2.623577e+00    2.627135e+00    2.630693e+00    9.271027e-01    7.289731e-02    1.239721e-08    3.582835e-02    4.423799e-05    0.000000e+00
    3.578000e+02   -7.300700e-01    2.645300e+00    1.838330e-06    2.456552e-06    3.074774e-06    2.623142e+00    2.626698e+00    2.630254e+00    9.264902e-01    7.350974e-02    1.276598e-08    3.607544e-02    4.559905e-05    0.000000e+00
    3.577000e+02   -1.822300e+00    2.650500e+00    1.894930e-06    2.529638e-06    3.164346e-06    2.622703e+00    2.626257e+00    2.629812e+00    9.258731e-01    7.412688e-02    1.314579e-08    3.632436e-02    4.700279e-05    0.000000e+00
