     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -1.408980e-01    2.673200e-01    8.301000e-03    4.318416e-09    5.889368e-09    7.460321e-09    2.567756e-01    2.571270e-01    2.574784e-01    1.152936e-03    1.218071e-03    1.283207e-03    9.948422e-01    5.157806e-03    3.060531e-10    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -2.023210e-01    2.667700e-01    8.126600e-03    4.429565e-09    6.066795e-09    7.704026e-09    2.567723e-01    2.571237e-01    2.574751e-01    1.163846e-03    1.229477e-03    1.295107e-03    9.947939e-01    5.206103e-03    3.152735e-10    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02   -1.618100e-01    2.664400e-01    8.284300e-03    4.577234e-09    6.249662e-09    7.922090e-09    2.567690e-01    2.571203e-01    2.574717e-01    1.174865e-03    1.240995e-03    1.307125e-03    9.947451e-01    5.254874e-03    3.247765e-10    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02   -1.618100e-01    2.664400e-01    8.284300e-03    4.673025e-09    6.438156e-09    8.203287e-09    2.567656e-01    2.571170e-01    2.574683e-01    1.185989e-03    1.252626e-03    1.319263e-03    9.946959e-01    5.304125e-03    3.345720e-10    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -1.723660e-01    2.666400e-01    8.210600e-03    4.783696e-09    6.632421e-09    8.481146e-09    2.567623e-01    2.571136e-01    2.574648e-01    1.197231e-03    1.264371e-03    1.331511e-03    9.946461e-01    5.353859e-03    3.446674e-10    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -1.723660e-01    2.666400e-01    8.210600e-03    4.964799e-09    6.832644e-09    8.700489e-09    2.567589e-01    2.571101e-01    2.574613e-01    1.208579e-03    1.276232e-03    1.343884e-03    9.945959e-01    5.404083e-03    3.550724e-10    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -1.305450e-01    2.667300e-01    8.225600e-03    5.168419e-09    7.039031e-09    8.909642e-09    2.567554e-01    2.571066e-01    2.574578e-01    1.220041e-03    1.288209e-03    1.356378e-03    9.945452e-01    5.454801e-03    3.657977e-10    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -1.305450e-01    2.667300e-01    8.225600e-03    5.368890e-09    7.251755e-09    9.134621e-09    2.567520e-01    2.571031e-01    2.574542e-01    1.231616e-03    1.300305e-03    1.368994e-03    9.944940e-01    5.506017e-03    3.768523e-10    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -3.819400e-02    2.670600e-01    8.407400e-03    5.452296e-09    7.471047e-09    9.489798e-09    2.567485e-01    2.570996e-01    2.574507e-01    1.243307e-03    1.312519e-03    1.381731e-03    9.944423e-01    5.557739e-03    3.882483e-10    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02   -1.779570e-01    2.671000e-01    8.218600e-03    5.635522e-09    7.697066e-09    9.758610e-09    2.567449e-01    2.570960e-01    2.574470e-01    1.255115e-03    1.324854e-03    1.394593e-03    9.943900e-01    5.609969e-03    3.999938e-10    2.693740e-02    1.257826e-05    0.000000e+00
